bathrooms,parking,price,rooms,size,ubication,years
2,2,"6,700,000",4,124 m²,"Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
,,"24,500",,2,"Av. Anillo Periférico Sur 5550, Pedregal De Carrasco, Coyoacán, Distrito Federal",
2,2,"12,000",2,73 m²,"Totonacas, Ajusco, Coyoacán, Distrito Federal",0 años
2,2,"22,000",2,110 m²,"Pedregal De Carrasco 0, Pedregal De Carrasco, Coyoacán, Distrito Federal",1
2,3,"2,645,000",3,102 m²,"Coyoacán, Distrito Federal",
1,2,"3,400,000",2,63 m²,"Xotepingo 0, Xotepingo, Coyoacán, Distrito Federal",0 años
3,2,"7,770,000",6,215 m²,"Copilco Universidad, Coyoacán, Distrito Federal",0 años
2,2,"2,781,000",4,90 m²,"Jumil, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
3,3,"5,012,454",6,122 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
4,0 años,"1,400,000",1,3,"Mariquita Sanchez, Culhuacán CTM Sección III, Coyoacán, Distrito Federal",
2,1,"1,161,500",3,54 m²,"2da Cerrada V. Bonfil Mz 10 Lt 21, Presidentes Ejidales, Coyoacán, Distrito Federal",
3,2,"16,500",5,110 m²,"Pueblo La Candelaria, Coyoacán, Distrito Federal",0 años
0 años,,"20,000",2,2,"Alianza Popular Revolucionaria, Coyoacán, Distrito Federal",
2,9,"2,995,000",2,65 m²,"Boulevard Adolfo Ruiz 5550, Pedregal De Carrasco, Coyoacán, Distrito Federal",
1,1,"615,000",2,60 m²,"Elvira Vargas 6, Culhuacán CTM Sección IX-A, Coyoacán, Distrito Federal",
0 años,,"20,000",2,2,"Alianza Popular Revolucionaria, Coyoacán, Distrito Federal",
3,1,"3,500,000",3,90 m²,"Coyoacan, El Rosedal, Coyoacán, Distrito Federal",0 años
3,3,"6,802,921",6,121 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
3,2,"13,000",2,86 m²,"Alba Esq.av Del Iman 93, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",
2,1,"1,795,900",2,51.35 m²,"Copal 104, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",1
2,1,"4,250,000",2,3,"San Andrés, Parque San Andrés, Coyoacán, Distrito Federal",0 MXN
1,1,"1,966,000",2,60 m²,"Coyoacán, Distrito Federal",
1,1,"2,680,000",2,50 m²,"Miguel Angel De Quevedo, Atlántida, Coyoacán, Distrito Federal",0 años
2,3,"25,000",3,92 m²,"Coyoacan, Parque San Andrés, Coyoacán, Distrito Federal",0 años
3,2,"1,386,520",7,96 m²,"Paseos De Taxqueña, Coyoacán, Distrito Federal",
